##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Gastric cancer	KEGG PATHWAY	hsa05226	18	148	0.0269604531717	0.64705087612	ENSG00000111432|ENSG00000164362|ENSG00000138675|ENSG00000007968|ENSG00000154342|ENSG00000079112|ENSG00000186895|ENSG00000162344|ENSG00000188763|ENSG00000107831|ENSG00000101412|ENSG00000158815|ENSG00000105173|ENSG00000066032|ENSG00000138795|ENSG00000075388|ENSG00000138798|ENSG00000115596	http://www.genome.jp/kegg-bin/show_pathway?hsa05226/hsa:11211%09red/hsa:2248%09red/hsa:2249%09red/hsa:89780%09red/hsa:51176%09red/hsa:2250%09red/hsa:898%09red/hsa:7015%09red/hsa:1870%09red/hsa:1950%09red/hsa:8822%09red/hsa:1496%09red/hsa:7475%09red/hsa:1869%09red/hsa:9965%09red/hsa:2253%09red/hsa:8326%09red/hsa:1015%09red
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG PATHWAY	hsa00534	5	24	0.0398050588319	0.729414166091	ENSG00000158008|ENSG00000171004|ENSG00000249853|ENSG00000138653|ENSG00000164100	http://www.genome.jp/kegg-bin/show_pathway?hsa00534/hsa:2134%09red/hsa:222537%09red/hsa:9348%09red/hsa:64579%09red/hsa:90161%09red
Alcoholism	KEGG PATHWAY	hsa05034	20	180	0.0432893363216	0.729414166091	ENSG00000197153|ENSG00000196747|ENSG00000275713|ENSG00000123569|ENSG00000276966|ENSG00000158406|ENSG00000181218|ENSG00000274267|ENSG00000147571|ENSG00000168243|ENSG00000127928|ENSG00000176884|ENSG00000273983|ENSG00000142319|ENSG00000157613|ENSG00000183454|ENSG00000131771|ENSG00000278677|ENSG00000196890|ENSG00000276903	http://www.genome.jp/kegg-bin/show_pathway?hsa05034/hsa:158983%09red/hsa:8358%09red/hsa:2903%09red/hsa:128312%09red/hsa:8345%09red/hsa:8356%09red/hsa:2792%09red/hsa:8329%09red/hsa:2786%09red/hsa:92815%09red/hsa:8355%09red/hsa:8367%09red/hsa:8365%09red/hsa:1392%09red/hsa:6531%09red/hsa:84152%09red/hsa:8332%09red/hsa:90993%09red/hsa:8336%09red/hsa:2902%09red
Cardiac muscle contraction	KEGG PATHWAY	hsa04260	11	82	0.0433547624844	0.729414166091	ENSG00000187581|ENSG00000129991|ENSG00000160471|ENSG00000075461|ENSG00000131055|ENSG00000182389|ENSG00000186439|ENSG00000108878|ENSG00000081248|ENSG00000170516|ENSG00000114854	http://www.genome.jp/kegg-bin/show_pathway?hsa04260/hsa:785%09red/hsa:10345%09red/hsa:341947%09red/hsa:170712%09red/hsa:7134%09red/hsa:27092%09red/hsa:125965%09red/hsa:786%09red/hsa:84701%09red/hsa:7137%09red/hsa:779%09red
Melanoma	KEGG PATHWAY	hsa05218	10	72	0.0440471439401	0.729414166091	ENSG00000007968|ENSG00000138675|ENSG00000147889|ENSG00000162344|ENSG00000107831|ENSG00000101412|ENSG00000158815|ENSG00000186895|ENSG00000075388|ENSG00000138798	http://www.genome.jp/kegg-bin/show_pathway?hsa05218/hsa:2248%09red/hsa:2249%09red/hsa:2253%09red/hsa:2250%09red/hsa:8822%09red/hsa:1870%09red/hsa:1950%09red/hsa:1029%09red/hsa:1869%09red/hsa:9965%09red
Nitrogen metabolism	KEGG PATHWAY	hsa00910	4	17	0.046440034551	0.729414166091	ENSG00000074410|ENSG00000107159|ENSG00000178538|ENSG00000167434	http://www.genome.jp/kegg-bin/show_pathway?hsa00910/hsa:768%09red/hsa:771%09red/hsa:762%09red/hsa:767%09red
Oocyte meiosis	KEGG PATHWAY	hsa04114	15	126	0.0469698516044	0.729414166091	ENSG00000127564|ENSG00000156509|ENSG00000155897|ENSG00000170312|ENSG00000077935|ENSG00000157456|ENSG00000105173|ENSG00000169679|ENSG00000158402|ENSG00000117399|ENSG00000166851|ENSG00000087586|ENSG00000164611|ENSG00000134057|ENSG00000129810	http://www.genome.jp/kegg-bin/show_pathway?hsa04114/hsa:991%09red/hsa:983%09red/hsa:9088%09red/hsa:995%09red/hsa:891%09red/hsa:5347%09red/hsa:151648%09red/hsa:699%09red/hsa:898%09red/hsa:27127%09red/hsa:6790%09red/hsa:9133%09red/hsa:114%09red/hsa:9232%09red/hsa:286151%09red
Insulin secretion	KEGG PATHWAY	hsa04911	11	86	0.0558866104192	0.795650171468	ENSG00000155897|ENSG00000006071|ENSG00000176406|ENSG00000115263|ENSG00000159224|ENSG00000105642|ENSG00000112164|ENSG00000081248|ENSG00000215262|ENSG00000147262|ENSG00000157613	http://www.genome.jp/kegg-bin/show_pathway?hsa04911/hsa:2695%09red/hsa:157855%09red/hsa:779%09red/hsa:139760%09red/hsa:2641%09red/hsa:3780%09red/hsa:9699%09red/hsa:6833%09red/hsa:114%09red/hsa:2740%09red/hsa:90993%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	hsa00053	5	27	0.0574229953356	0.795650171468	ENSG00000240224|ENSG00000100253|ENSG00000213759|ENSG00000244122|ENSG00000242515	http://www.genome.jp/kegg-bin/show_pathway?hsa00053/hsa:54579%09red/hsa:54575%09red/hsa:54577%09red/hsa:55586%09red/hsa:10720%09red
Pancreatic secretion	KEGG PATHWAY	hsa04972	12	98	0.0602765281415	0.795650171468	ENSG00000155897|ENSG00000168925|ENSG00000188784|ENSG00000091704|ENSG00000219073|ENSG00000158516|ENSG00000175535|ENSG00000170835|ENSG00000142789|ENSG00000266200|ENSG00000275896|ENSG00000204983	http://www.genome.jp/kegg-bin/show_pathway?hsa04972/hsa:1357%09red/hsa:5406%09red/hsa:1504%09red/hsa:1056%09red/hsa:10136%09red/hsa:5408%09red/hsa:23436%09red/hsa:114%09red/hsa:1358%09red/hsa:30814%09red/hsa:5645%09red/hsa:5644%09red
cAMP signaling pathway	KEGG PATHWAY	hsa04024	22	213	0.0642881714744	0.808194155679	ENSG00000155897|ENSG00000162009|ENSG00000179546|ENSG00000129991|ENSG00000157005|ENSG00000181072|ENSG00000183454|ENSG00000115263|ENSG00000179097|ENSG00000136928|ENSG00000112164|ENSG00000159224|ENSG00000147262|ENSG00000104899|ENSG00000120251|ENSG00000168539|ENSG00000157613|ENSG00000099822|ENSG00000176884|ENSG00000070729|ENSG00000131771|ENSG00000081248	http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:9568%09red/hsa:139760%09red/hsa:1258%09red/hsa:90993%09red/hsa:2903%09red/hsa:2902%09red/hsa:2740%09red/hsa:3352%09red/hsa:3355%09red/hsa:2695%09red/hsa:779%09red/hsa:2891%09red/hsa:2641%09red/hsa:1128%09red/hsa:1129%09red/hsa:268%09red/hsa:610%09red/hsa:84152%09red/hsa:6750%09red/hsa:6755%09red/hsa:7137%09red/hsa:114%09red
Calcium signaling pathway	KEGG PATHWAY	hsa04020	20	191	0.0678087137074	0.813704564489	ENSG00000168959|ENSG00000110148|ENSG00000126010|ENSG00000155897|ENSG00000100346|ENSG00000181072|ENSG00000168539|ENSG00000183454|ENSG00000147246|ENSG00000186439|ENSG00000198216|ENSG00000176884|ENSG00000137825|ENSG00000081248|ENSG00000115353|ENSG00000148408|ENSG00000154678|ENSG00000100739|ENSG00000114854|ENSG00000187848	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:2925%09red/hsa:6869%09red/hsa:777%09red/hsa:22953%09red/hsa:5137%09red/hsa:774%09red/hsa:779%09red/hsa:7134%09red/hsa:3706%09red/hsa:1128%09red/hsa:1129%09red/hsa:2903%09red/hsa:2915%09red/hsa:114%09red/hsa:10345%09red/hsa:623%09red/hsa:3358%09red/hsa:8911%09red/hsa:887%09red/hsa:2902%09red
Serotonergic synapse	KEGG PATHWAY	hsa04726	13	113	0.0743299920209	0.853179038848	ENSG00000179593|ENSG00000149305|ENSG00000147246|ENSG00000179097|ENSG00000179546|ENSG00000168243|ENSG00000168907|ENSG00000162728|ENSG00000157542|ENSG00000081248|ENSG00000148408|ENSG00000166736|ENSG00000127928	http://www.genome.jp/kegg-bin/show_pathway?hsa04726/hsa:247%09red/hsa:774%09red/hsa:2792%09red/hsa:2786%09red/hsa:255189%09red/hsa:3352%09red/hsa:3355%09red/hsa:3763%09red/hsa:3359%09red/hsa:3358%09red/hsa:779%09red/hsa:9177%09red/hsa:3765%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	19	185	0.084056142778	0.864985353771	ENSG00000197153|ENSG00000126752|ENSG00000134323|ENSG00000253293|ENSG00000135903|ENSG00000100625|ENSG00000268447|ENSG00000164438|ENSG00000149948|ENSG00000274267|ENSG00000005073|ENSG00000273983|ENSG00000104313|ENSG00000175832|ENSG00000126778|ENSG00000078399|ENSG00000009709|ENSG00000107807|ENSG00000123080	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:3205%09red/hsa:30012%09red/hsa:3207%09red/hsa:5077%09red/hsa:2138%09red/hsa:1031%09red/hsa:6756%09red/hsa:5081%09red/hsa:2118%09red/hsa:8356%09red/hsa:8358%09red/hsa:8355%09red/hsa:4613%09red/hsa:3206%09red/hsa:8091%09red/hsa:51804%09red/hsa:727837%09red/hsa:6495%09red/hsa:3195%09red
p53 signaling pathway	KEGG PATHWAY	hsa04115	9	72	0.0869874680227	0.864985353771	ENSG00000170312|ENSG00000157456|ENSG00000147889|ENSG00000177519|ENSG00000078900|ENSG00000075218|ENSG00000175793|ENSG00000105173|ENSG00000134057	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:56475%09red/hsa:983%09red/hsa:51512%09red/hsa:891%09red/hsa:898%09red/hsa:7161%09red/hsa:1029%09red/hsa:9133%09red/hsa:2810%09red
Bladder cancer	KEGG PATHWAY	hsa05219	6	41	0.0884644111812	0.864985353771	ENSG00000100373|ENSG00000147889|ENSG00000196611|ENSG00000007968|ENSG00000101412|ENSG00000138798	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:7380%09red/hsa:1029%09red/hsa:1870%09red/hsa:4312%09red/hsa:1950%09red/hsa:1869%09red
Fat digestion and absorption	KEGG PATHWAY	hsa04975	6	41	0.0884644111812	0.864985353771	ENSG00000188784|ENSG00000137392|ENSG00000175535|ENSG00000170835|ENSG00000266200|ENSG00000110244	http://www.genome.jp/kegg-bin/show_pathway?hsa04975/hsa:5406%09red/hsa:1208%09red/hsa:1056%09red/hsa:5408%09red/hsa:337%09red/hsa:30814%09red
Dopaminergic synapse	KEGG PATHWAY	hsa04728	14	131	0.100316220372	0.945838649225	ENSG00000074211|ENSG00000183454|ENSG00000168243|ENSG00000130643|ENSG00000162728|ENSG00000131771|ENSG00000157542|ENSG00000148408|ENSG00000142319|ENSG00000157613|ENSG00000144285|ENSG00000127928|ENSG00000155980|ENSG00000120251	http://www.genome.jp/kegg-bin/show_pathway?hsa04728/hsa:5522%09red/hsa:3798%09red/hsa:774%09red/hsa:2792%09red/hsa:2786%09red/hsa:2891%09red/hsa:6323%09red/hsa:6531%09red/hsa:50632%09red/hsa:3763%09red/hsa:90993%09red/hsa:84152%09red/hsa:2903%09red/hsa:3765%09red
Cortisol synthesis and secretion	KEGG PATHWAY	hsa04927	8	65	0.109111680594	0.993292540576	ENSG00000155897|ENSG00000100346|ENSG00000147465|ENSG00000082482|ENSG00000081248|ENSG00000148795|ENSG00000157613|ENSG00000169297	http://www.genome.jp/kegg-bin/show_pathway?hsa04927/hsa:90993%09red/hsa:6770%09red/hsa:779%09red/hsa:3776%09red/hsa:114%09red/hsa:8911%09red/hsa:190%09red/hsa:1586%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	hsa00040	5	34	0.113099023286	0.99527140492	ENSG00000240224|ENSG00000198074|ENSG00000244122|ENSG00000213759|ENSG00000242515	http://www.genome.jp/kegg-bin/show_pathway?hsa00040/hsa:54579%09red/hsa:54575%09red/hsa:57016%09red/hsa:54577%09red/hsa:10720%09red
Breast cancer	KEGG PATHWAY	hsa05224	15	147	0.11875575019	0.99999678071	ENSG00000111432|ENSG00000090932|ENSG00000138675|ENSG00000007968|ENSG00000154342|ENSG00000162344|ENSG00000188763|ENSG00000107831|ENSG00000101412|ENSG00000158815|ENSG00000186895|ENSG00000138795|ENSG00000075388|ENSG00000138798|ENSG00000115596	http://www.genome.jp/kegg-bin/show_pathway?hsa05224/hsa:11211%09red/hsa:2248%09red/hsa:2249%09red/hsa:89780%09red/hsa:51176%09red/hsa:10683%09red/hsa:2250%09red/hsa:8822%09red/hsa:1870%09red/hsa:1950%09red/hsa:2253%09red/hsa:7475%09red/hsa:1869%09red/hsa:9965%09red/hsa:8326%09red
Synaptic vesicle cycle	KEGG PATHWAY	hsa04721	9	78	0.121495914032	0.99999678071	ENSG00000130477|ENSG00000011083|ENSG00000145920|ENSG00000187714|ENSG00000147614|ENSG00000132164|ENSG00000148408|ENSG00000142319|ENSG00000103546	http://www.genome.jp/kegg-bin/show_pathway?hsa04721/hsa:774%09red/hsa:23025%09red/hsa:6534%09red/hsa:6530%09red/hsa:6531%09red/hsa:245972%09red/hsa:10814%09red/hsa:6572%09red/hsa:6538%09red
Tyrosine metabolism	KEGG PATHWAY	hsa00350	5	36	0.132498810607	0.99999678071	ENSG00000132746|ENSG00000107165|ENSG00000077498|ENSG00000141744|ENSG00000108602	http://www.genome.jp/kegg-bin/show_pathway?hsa00350/hsa:218%09red/hsa:222%09red/hsa:5409%09red/hsa:7306%09red/hsa:7299%09red
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	13	130	0.153201023777	0.99999678071	ENSG00000197153|ENSG00000196747|ENSG00000275713|ENSG00000123569|ENSG00000276966|ENSG00000158406|ENSG00000181218|ENSG00000274267|ENSG00000273983|ENSG00000183454|ENSG00000278677|ENSG00000196890|ENSG00000276903	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:158983%09red/hsa:8358%09red/hsa:128312%09red/hsa:8345%09red/hsa:8356%09red/hsa:8365%09red/hsa:92815%09red/hsa:8355%09red/hsa:8367%09red/hsa:8329%09red/hsa:2903%09red/hsa:8332%09red/hsa:8336%09red
Steroid hormone biosynthesis	KEGG PATHWAY	hsa00140	7	60	0.153918749916	0.99999678071	ENSG00000137869|ENSG00000179142|ENSG00000213759|ENSG00000242515|ENSG00000240224|ENSG00000148795|ENSG00000244122	http://www.genome.jp/kegg-bin/show_pathway?hsa00140/hsa:1588%09red/hsa:54577%09red/hsa:54575%09red/hsa:54579%09red/hsa:1585%09red/hsa:1586%09red/hsa:10720%09red
Cocaine addiction	KEGG PATHWAY	hsa05030	6	49	0.154948216783	0.99999678071	ENSG00000183454|ENSG00000176884|ENSG00000142319|ENSG00000157613|ENSG00000131771|ENSG00000120251	http://www.genome.jp/kegg-bin/show_pathway?hsa05030/hsa:2902%09red/hsa:2891%09red/hsa:6531%09red/hsa:90993%09red/hsa:2903%09red/hsa:84152%09red
Circadian entrainment	KEGG PATHWAY	hsa04713	10	97	0.171061122473	0.99999678071	ENSG00000162728|ENSG00000155897|ENSG00000100346|ENSG00000183454|ENSG00000168243|ENSG00000176884|ENSG00000157542|ENSG00000134640|ENSG00000127928|ENSG00000120251	http://www.genome.jp/kegg-bin/show_pathway?hsa04713/hsa:2792%09red/hsa:2786%09red/hsa:2891%09red/hsa:4544%09red/hsa:8911%09red/hsa:114%09red/hsa:3763%09red/hsa:2902%09red/hsa:2903%09red/hsa:3765%09red
Progesterone-mediated oocyte maturation	KEGG PATHWAY	hsa04914	10	97	0.171061122473	0.99999678071	ENSG00000127564|ENSG00000166851|ENSG00000170312|ENSG00000157456|ENSG00000169679|ENSG00000158402|ENSG00000145386|ENSG00000155897|ENSG00000087586|ENSG00000134057	http://www.genome.jp/kegg-bin/show_pathway?hsa04914/hsa:983%09red/hsa:995%09red/hsa:9088%09red/hsa:890%09red/hsa:891%09red/hsa:5347%09red/hsa:699%09red/hsa:6790%09red/hsa:9133%09red/hsa:114%09red
ECM-receptor interaction	KEGG PATHWAY	hsa04512	9	86	0.177235274802	0.99999678071	ENSG00000105664|ENSG00000113296|ENSG00000197565|ENSG00000139219|ENSG00000072571|ENSG00000112280|ENSG00000091128|ENSG00000029559|ENSG00000118785	http://www.genome.jp/kegg-bin/show_pathway?hsa04512/hsa:1297%09red/hsa:3381%09red/hsa:1280%09red/hsa:1311%09red/hsa:7060%09red/hsa:1288%09red/hsa:22798%09red/hsa:3161%09red/hsa:6696%09red
Cholinergic synapse	KEGG PATHWAY	hsa04725	11	112	0.191794873425	0.99999678071	ENSG00000155897|ENSG00000080644|ENSG00000181072|ENSG00000168539|ENSG00000187714|ENSG00000168243|ENSG00000157542|ENSG00000081248|ENSG00000148408|ENSG00000157613|ENSG00000127928	http://www.genome.jp/kegg-bin/show_pathway?hsa04725/hsa:1136%09red/hsa:774%09red/hsa:2792%09red/hsa:2786%09red/hsa:1128%09red/hsa:1129%09red/hsa:114%09red/hsa:3763%09red/hsa:6572%09red/hsa:90993%09red/hsa:779%09red
Homologous recombination	KEGG PATHWAY	hsa03440	5	42	0.198434690256	0.99999678071	ENSG00000154920|ENSG00000085999|ENSG00000196584|ENSG00000197299|ENSG00000051180	http://www.genome.jp/kegg-bin/show_pathway?hsa03440/hsa:5888%09red/hsa:641%09red/hsa:8438%09red/hsa:146956%09red/hsa:7516%09red
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG PATHWAY	hsa05412	8	77	0.200359246128	0.99999678071	ENSG00000138795|ENSG00000075461|ENSG00000182389|ENSG00000108878|ENSG00000081248|ENSG00000077522|ENSG00000102683|ENSG00000066032	http://www.genome.jp/kegg-bin/show_pathway?hsa05412/hsa:786%09red/hsa:779%09red/hsa:785%09red/hsa:27092%09red/hsa:51176%09red/hsa:1496%09red/hsa:88%09red/hsa:6445%09red
