##Databases: Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
metalloendopeptidase activity	Gene Ontology	GO:0004222	14	106	0.0275635177604	0.332857383133	ENSG00000112818|ENSG00000140873|ENSG00000114948|ENSG00000099953|ENSG00000197993|ENSG00000173157|ENSG00000102174|ENSG00000196611|ENSG00000262406|ENSG00000073670|ENSG00000145536|ENSG00000166670|ENSG00000171551|ENSG00000137745	http://amigo.geneontology.org/amigo/term/GO:0004222
negative regulation of peptidase activity	Gene Ontology	GO:0010466	4	14	0.0277721497584	0.332857383133	ENSG00000147257|ENSG00000206073|ENSG00000137558|ENSG00000057149	http://amigo.geneontology.org/amigo/term/GO:0010466
sensory perception of taste	Gene Ontology	GO:0050909	4	14	0.0277721497584	0.332857383133	ENSG00000187848|ENSG00000070985|ENSG00000138795|ENSG00000166828	http://amigo.geneontology.org/amigo/term/GO:0050909
positive regulation of ubiquitin protein ligase activity	Gene Ontology	GO:1904668	4	14	0.0277721497584	0.332857383133	ENSG00000117399|ENSG00000175063|ENSG00000164287|ENSG00000166851	http://amigo.geneontology.org/amigo/term/GO:1904668
lateral element	Gene Ontology	GO:0000800	4	14	0.0277721497584	0.332857383133	ENSG00000161609|ENSG00000051180|ENSG00000077935|ENSG00000197299	http://amigo.geneontology.org/amigo/term/GO:0000800
glial cell differentiation	Gene Ontology	GO:0010001	4	14	0.0277721497584	0.332857383133	ENSG00000075891|ENSG00000187957|ENSG00000172020|ENSG00000138675	http://amigo.geneontology.org/amigo/term/GO:0010001
regulation of muscle contraction	Gene Ontology	GO:0006937	4	14	0.0277721497584	0.332857383133	ENSG00000130598|ENSG00000225180|ENSG00000114854|ENSG00000111262	http://amigo.geneontology.org/amigo/term/GO:0006937
antigen processing and presentation of exogenous peptide antigen via MHC class II	Gene Ontology	GO:0019886	13	96	0.028105983068	0.335870618774	ENSG00000121621|ENSG00000163808|ENSG00000196188|ENSG00000138160|ENSG00000158560|ENSG00000090889|ENSG00000142945|ENSG00000161800|ENSG00000129354|ENSG00000136943|ENSG00000137807|ENSG00000138778|ENSG00000155980	http://amigo.geneontology.org/amigo/term/GO:0019886
microtubule cytoskeleton	Gene Ontology	GO:0015630	19	160	0.0285819119572	0.340559331069	ENSG00000121621|ENSG00000166851|ENSG00000101447|ENSG00000077327|ENSG00000073111|ENSG00000154839|ENSG00000100167|ENSG00000037965|ENSG00000075218|ENSG00000138778|ENSG00000157456|ENSG00000072571|ENSG00000087586|ENSG00000154997|ENSG00000165480|ENSG00000198901|ENSG00000142945|ENSG00000184368|ENSG00000186868	http://amigo.geneontology.org/amigo/term/GO:0015630
pattern specification process	Gene Ontology	GO:0007389	6	30	0.0294344135413	0.348678009247	ENSG00000156150|ENSG00000129654|ENSG00000273706|ENSG00000171243|ENSG00000126778|ENSG00000104313	http://amigo.geneontology.org/amigo/term/GO:0007389
cyclin-dependent protein kinase holoenzyme complex	Gene Ontology	GO:0000307	6	30	0.0294344135413	0.348678009247	ENSG00000170312|ENSG00000157456|ENSG00000105173|ENSG00000145386|ENSG00000152669|ENSG00000134057	http://amigo.geneontology.org/amigo/term/GO:0000307
brain development	Gene Ontology	GO:0007420	25	228	0.0298678003749	0.35212559289	ENSG00000132164|ENSG00000043355|ENSG00000087250|ENSG00000148704|ENSG00000138083|ENSG00000183454|ENSG00000176165|ENSG00000169059|ENSG00000196767|ENSG00000177504|ENSG00000197587|ENSG00000197106|ENSG00000135638|ENSG00000125820|ENSG00000115844|ENSG00000155966|ENSG00000154975|ENSG00000188816|ENSG00000180772|ENSG00000129654|ENSG00000070019|ENSG00000176884|ENSG00000149654|ENSG00000182583|ENSG00000188620	http://amigo.geneontology.org/amigo/term/GO:0007420
positive regulation of dendrite extension	Gene Ontology	GO:1903861	5	22	0.0301575047653	0.35212559289	ENSG00000141576|ENSG00000130477|ENSG00000115386|ENSG00000213023|ENSG00000176406	http://amigo.geneontology.org/amigo/term/GO:1903861
positive regulation of neural precursor cell proliferation	Gene Ontology	GO:2000179	5	22	0.0301575047653	0.35212559289	ENSG00000110492|ENSG00000204624|ENSG00000173404|ENSG00000188763|ENSG00000154342	http://amigo.geneontology.org/amigo/term/GO:2000179
membrane depolarization	Gene Ontology	GO:0051899	5	22	0.0301575047653	0.35212559289	ENSG00000075461|ENSG00000183873|ENSG00000182389|ENSG00000148408|ENSG00000198216	http://amigo.geneontology.org/amigo/term/GO:0051899
mitotic cell cycle phase transition	Gene Ontology	GO:0044772	5	22	0.0301575047653	0.35212559289	ENSG00000157456|ENSG00000105173|ENSG00000152669|ENSG00000134057|ENSG00000145386	http://amigo.geneontology.org/amigo/term/GO:0044772
motor activity	Gene Ontology	GO:0003774	7	39	0.0305591845426	0.355796220032	ENSG00000163808|ENSG00000158560|ENSG00000133454|ENSG00000186185|ENSG00000109061|ENSG00000130294|ENSG00000155980	http://amigo.geneontology.org/amigo/term/GO:0003774
collagen-containing extracellular matrix	Gene Ontology	GO:0062023	37	369	0.0309592929395	0.359427688685	ENSG00000060718|ENSG00000171502|ENSG00000197565|ENSG00000164932|ENSG00000124159|ENSG00000173157|ENSG00000130720|ENSG00000073670|ENSG00000145681|ENSG00000126838|ENSG00000145386|ENSG00000110244|ENSG00000266524|ENSG00000113296|ENSG00000171819|ENSG00000160339|ENSG00000181092|ENSG00000132031|ENSG00000152583|ENSG00000105664|ENSG00000140945|ENSG00000114270|ENSG00000139219|ENSG00000164764|ENSG00000100473|ENSG00000204983|ENSG00000204291|ENSG00000167941|ENSG00000123243|ENSG00000164176|ENSG00000142748|ENSG00000163810|ENSG00000157766|ENSG00000112280|ENSG00000147257|ENSG00000110492|ENSG00000101144	http://amigo.geneontology.org/amigo/term/GO:0062023
axon	Gene Ontology	GO:0030424	32	310	0.0310647622546	0.359627574397	ENSG00000155897|ENSG00000187323|ENSG00000164509|ENSG00000087250|ENSG00000136750|ENSG00000163554|ENSG00000145242|ENSG00000129990|ENSG00000027644|ENSG00000157064|ENSG00000277586|ENSG00000187730|ENSG00000130294|ENSG00000173267|ENSG00000248771|ENSG00000142319|ENSG00000144285|ENSG00000165973|ENSG00000177508|ENSG00000113327|ENSG00000169855|ENSG00000148795|ENSG00000186868|ENSG00000166006|ENSG00000166736|ENSG00000186417|ENSG00000149043|ENSG00000167654|ENSG00000133216|ENSG00000066032|ENSG00000165462|ENSG00000129159	http://amigo.geneontology.org/amigo/term/GO:0030424
axonal transport of mitochondrion	Gene Ontology	GO:0019896	3	8	0.0320242448322	0.361012602702	ENSG00000277586|ENSG00000154277|ENSG00000186868	http://amigo.geneontology.org/amigo/term/GO:0019896
anatomical structure formation involved in morphogenesis	Gene Ontology	GO:0048646	3	8	0.0320242448322	0.361012602702	ENSG00000006377|ENSG00000105880|ENSG00000273706	http://amigo.geneontology.org/amigo/term/GO:0048646
metanephric mesenchyme development	Gene Ontology	GO:0072075	3	8	0.0320242448322	0.361012602702	ENSG00000100625|ENSG00000075891|ENSG00000126778	http://amigo.geneontology.org/amigo/term/GO:0072075
negative regulation of norepinephrine secretion	Gene Ontology	GO:0010700	3	8	0.0320242448322	0.361012602702	ENSG00000180772|ENSG00000184160|ENSG00000147571	http://amigo.geneontology.org/amigo/term/GO:0010700
positive regulation of heart contraction	Gene Ontology	GO:0045823	3	8	0.0320242448322	0.361012602702	ENSG00000248329|ENSG00000183072|ENSG00000171388	http://amigo.geneontology.org/amigo/term/GO:0045823
neuronal dense core vesicle	Gene Ontology	GO:0098992	3	8	0.0320242448322	0.361012602702	ENSG00000130294|ENSG00000145087|ENSG00000100604	http://amigo.geneontology.org/amigo/term/GO:0098992
bubble DNA binding	Gene Ontology	GO:0000405	3	8	0.0320242448322	0.361012602702	ENSG00000109674|ENSG00000197299|ENSG00000160957	http://amigo.geneontology.org/amigo/term/GO:0000405
neuroepithelial cell differentiation	Gene Ontology	GO:0060563	3	8	0.0320242448322	0.361012602702	ENSG00000107831|ENSG00000135638|ENSG00000176887	http://amigo.geneontology.org/amigo/term/GO:0060563
regulation of cell cycle	Gene Ontology	GO:0051726	15	119	0.0320553548824	0.361012602702	ENSG00000166851|ENSG00000174697|ENSG00000123999|ENSG00000157456|ENSG00000267795|ENSG00000007968|ENSG00000166803|ENSG00000101412|ENSG00000101057|ENSG00000165891|ENSG00000068489|ENSG00000111206|ENSG00000117724|ENSG00000134057|ENSG00000129173	http://amigo.geneontology.org/amigo/term/GO:0051726
visual perception	Gene Ontology	GO:0007601	23	207	0.0320703220069	0.361012602702	ENSG00000060718|ENSG00000196431|ENSG00000163499|ENSG00000122375|ENSG00000077498|ENSG00000121743|ENSG00000179270|ENSG00000168875|ENSG00000170819|ENSG00000138083|ENSG00000164007|ENSG00000100122|ENSG00000182963|ENSG00000043355|ENSG00000080511|ENSG00000075891|ENSG00000139219|ENSG00000119614|ENSG00000101412|ENSG00000163914|ENSG00000116035|ENSG00000187242|ENSG00000070729	http://amigo.geneontology.org/amigo/term/GO:0007601
axonogenesis	Gene Ontology	GO:0007409	11	78	0.0329033873267	0.365682737444	ENSG00000178235|ENSG00000132932|ENSG00000016082|ENSG00000075891|ENSG00000187323|ENSG00000159556|ENSG00000174672|ENSG00000091129|ENSG00000066032|ENSG00000117600|ENSG00000116035	http://amigo.geneontology.org/amigo/term/GO:0007409
regulation of synaptic transmission, glutamatergic	Gene Ontology	GO:0051966	6	31	0.0332290281721	0.365682737444	ENSG00000168959|ENSG00000130477|ENSG00000124493|ENSG00000107984|ENSG00000118432|ENSG00000008735	http://amigo.geneontology.org/amigo/term/GO:0051966
neuron development	Gene Ontology	GO:0048666	8	49	0.0333181700672	0.365682737444	ENSG00000163064|ENSG00000132932|ENSG00000184486|ENSG00000186487|ENSG00000162992|ENSG00000164778|ENSG00000159556|ENSG00000145242	http://amigo.geneontology.org/amigo/term/GO:0048666
sulfur compound metabolic process	Gene Ontology	GO:0006790	4	15	0.0333825713691	0.365682737444	ENSG00000135702|ENSG00000183196|ENSG00000124302|ENSG00000196228	http://amigo.geneontology.org/amigo/term/GO:0006790
spindle pole centrosome	Gene Ontology	GO:0031616	4	15	0.0333825713691	0.365682737444	ENSG00000178999|ENSG00000087586|ENSG00000126787|ENSG00000099812	http://amigo.geneontology.org/amigo/term/GO:0031616
animal organ development	Gene Ontology	GO:0048513	4	15	0.0333825713691	0.365682737444	ENSG00000107807|ENSG00000115297|ENSG00000164438|ENSG00000136487	http://amigo.geneontology.org/amigo/term/GO:0048513
prepulse inhibition	Gene Ontology	GO:0060134	4	15	0.0333825713691	0.365682737444	ENSG00000176884|ENSG00000066032|ENSG00000164434|ENSG00000142319	http://amigo.geneontology.org/amigo/term/GO:0060134
sympathetic nervous system development	Gene Ontology	GO:0048485	4	15	0.0333825713691	0.365682737444	ENSG00000146013|ENSG00000176887|ENSG00000165462|ENSG00000008196	http://amigo.geneontology.org/amigo/term/GO:0048485
dense core granule	Gene Ontology	GO:0031045	4	15	0.0333825713691	0.365682737444	ENSG00000149043|ENSG00000129990|ENSG00000145708|ENSG00000103546	http://amigo.geneontology.org/amigo/term/GO:0031045
axolemma	Gene Ontology	GO:0030673	4	15	0.0333825713691	0.365682737444	ENSG00000154096|ENSG00000166006|ENSG00000186868|ENSG00000129159	http://amigo.geneontology.org/amigo/term/GO:0030673
plasma membrane organization	Gene Ontology	GO:0007009	5	23	0.0347745946915	0.376878918532	ENSG00000128298|ENSG00000163554|ENSG00000214814|ENSG00000249715|ENSG00000088340	http://amigo.geneontology.org/amigo/term/GO:0007009
DNA replication origin binding	Gene Ontology	GO:0003688	5	23	0.0347745946915	0.376878918532	ENSG00000065328|ENSG00000093009|ENSG00000085840|ENSG00000094804|ENSG00000073111	http://amigo.geneontology.org/amigo/term/GO:0003688
regulation of mitotic nuclear division	Gene Ontology	GO:0007088	5	23	0.0347745946915	0.376878918532	ENSG00000148773|ENSG00000127564|ENSG00000156509|ENSG00000117650|ENSG00000158402	http://amigo.geneontology.org/amigo/term/GO:0007088
tissue regeneration	Gene Ontology	GO:0042246	5	23	0.0347745946915	0.376878918532	ENSG00000110492|ENSG00000172020|ENSG00000181449|ENSG00000134057|ENSG00000167755	http://amigo.geneontology.org/amigo/term/GO:0042246
skeletal muscle tissue development	Gene Ontology	GO:0007519	8	50	0.0364904699274	0.394426166987	ENSG00000170162|ENSG00000100625|ENSG00000128709|ENSG00000132429|ENSG00000128710|ENSG00000178860|ENSG00000126778|ENSG00000139780	http://amigo.geneontology.org/amigo/term/GO:0007519
excretion	Gene Ontology	GO:0007588	6	32	0.0373265299628	0.395266069275	ENSG00000186510|ENSG00000086159|ENSG00000116218|ENSG00000198914|ENSG00000244122|ENSG00000166828	http://amigo.geneontology.org/amigo/term/GO:0007588
amino acid transmembrane transport	Gene Ontology	GO:0003333	6	32	0.0373265299628	0.395266069275	ENSG00000164363|ENSG00000166558|ENSG00000072041|ENSG00000013293|ENSG00000268104|ENSG00000130876	http://amigo.geneontology.org/amigo/term/GO:0003333
behavioral fear response	Gene Ontology	GO:0001662	6	32	0.0373265299628	0.395266069275	ENSG00000164418|ENSG00000150551|ENSG00000147246|ENSG00000110881|ENSG00000110492|ENSG00000008735	http://amigo.geneontology.org/amigo/term/GO:0001662
bicarbonate transport	Gene Ontology	GO:0015701	7	41	0.0375339419227	0.395266069275	ENSG00000174502|ENSG00000167434|ENSG00000225697|ENSG00000074410|ENSG00000088836|ENSG00000107159|ENSG00000114923	http://amigo.geneontology.org/amigo/term/GO:0015701
extracellular matrix structural constituent conferring tensile strength	Gene Ontology	GO:0030020	7	41	0.0375339419227	0.395266069275	ENSG00000060718|ENSG00000204291|ENSG00000171502|ENSG00000197565|ENSG00000114270|ENSG00000139219|ENSG00000112280	http://amigo.geneontology.org/amigo/term/GO:0030020
cell-cell signaling	Gene Ontology	GO:0007267	24	223	0.0387849881552	0.395266069275	ENSG00000102174|ENSG00000138675|ENSG00000123999|ENSG00000102195|ENSG00000121743|ENSG00000121742|ENSG00000163735|ENSG00000158815|ENSG00000273706|ENSG00000154096|ENSG00000157005|ENSG00000154143|ENSG00000127743|ENSG00000182963|ENSG00000186895|ENSG00000075388|ENSG00000006606|ENSG00000165973|ENSG00000104899|ENSG00000186868|ENSG00000175426|ENSG00000099822|ENSG00000278195|ENSG00000184160	http://amigo.geneontology.org/amigo/term/GO:0007267
response to vitamin D	Gene Ontology	GO:0033280	4	16	0.039604360115	0.395266069275	ENSG00000077498|ENSG00000101144|ENSG00000118785|ENSG00000019186	http://amigo.geneontology.org/amigo/term/GO:0033280
DNA binding, bending	Gene Ontology	GO:0008301	4	16	0.039604360115	0.395266069275	ENSG00000138795|ENSG00000251493|ENSG00000149948|ENSG00000131747	http://amigo.geneontology.org/amigo/term/GO:0008301
cellular response to nitric oxide	Gene Ontology	GO:0071732	4	16	0.039604360115	0.395266069275	ENSG00000015413|ENSG00000145386|ENSG00000087250|ENSG00000166006	http://amigo.geneontology.org/amigo/term/GO:0071732
negative regulation of phosphorylation	Gene Ontology	GO:0042326	4	16	0.039604360115	0.395266069275	ENSG00000147889|ENSG00000101144|ENSG00000123999|ENSG00000123080	http://amigo.geneontology.org/amigo/term/GO:0042326
DNA unwinding involved in DNA replication	Gene Ontology	GO:0006268	4	16	0.039604360115	0.395266069275	ENSG00000051180|ENSG00000197299|ENSG00000160957|ENSG00000073111	http://amigo.geneontology.org/amigo/term/GO:0006268
mitotic chromosome condensation	Gene Ontology	GO:0007076	4	16	0.039604360115	0.395266069275	ENSG00000121152|ENSG00000109805|ENSG00000146670|ENSG00000137804	http://amigo.geneontology.org/amigo/term/GO:0007076
single-stranded DNA helicase activity	Gene Ontology	GO:0017116	4	16	0.039604360115	0.395266069275	ENSG00000051341|ENSG00000140451|ENSG00000051180|ENSG00000073111	http://amigo.geneontology.org/amigo/term/GO:0017116
dentate gyrus development	Gene Ontology	GO:0021542	4	16	0.039604360115	0.395266069275	ENSG00000138795|ENSG00000110492|ENSG00000153266|ENSG00000162992	http://amigo.geneontology.org/amigo/term/GO:0021542
calcium ion-regulated exocytosis of neurotransmitter	Gene Ontology	GO:0048791	4	16	0.039604360115	0.395266069275	ENSG00000149043|ENSG00000129990|ENSG00000213023|ENSG00000176406	http://amigo.geneontology.org/amigo/term/GO:0048791
glutamate receptor activity	Gene Ontology	GO:0008066	4	16	0.039604360115	0.395266069275	ENSG00000168959|ENSG00000164418|ENSG00000149403|ENSG00000124493	http://amigo.geneontology.org/amigo/term/GO:0008066
bicarbonate transmembrane transporter activity	Gene Ontology	GO:0015106	4	16	0.039604360115	0.395266069275	ENSG00000174502|ENSG00000225697|ENSG00000114923|ENSG00000088836	http://amigo.geneontology.org/amigo/term/GO:0015106
superoxide anion generation	Gene Ontology	GO:0042554	4	16	0.039604360115	0.395266069275	ENSG00000086991|ENSG00000163377|ENSG00000137857|ENSG00000140279	http://amigo.geneontology.org/amigo/term/GO:0042554
prostaglandin biosynthetic process	Gene Ontology	GO:0001516	4	16	0.039604360115	0.395266069275	ENSG00000148344|ENSG00000107317|ENSG00000168907|ENSG00000104899	http://amigo.geneontology.org/amigo/term/GO:0001516
membrane depolarization during action potential	Gene Ontology	GO:0086010	4	16	0.039604360115	0.395266069275	ENSG00000183873|ENSG00000100346|ENSG00000144285|ENSG00000055118	http://amigo.geneontology.org/amigo/term/GO:0086010
myosin filament	Gene Ontology	GO:0032982	4	16	0.039604360115	0.395266069275	ENSG00000086967|ENSG00000006788|ENSG00000196091|ENSG00000109061	http://amigo.geneontology.org/amigo/term/GO:0032982
sodium-independent organic anion transmembrane transporter activity	Gene Ontology	GO:0015347	4	16	0.039604360115	0.395266069275	ENSG00000139155|ENSG00000168065|ENSG00000205359|ENSG00000197901	http://amigo.geneontology.org/amigo/term/GO:0015347
neuropeptide binding	Gene Ontology	GO:0042923	5	24	0.0398050588319	0.395266069275	ENSG00000082556|ENSG00000278195|ENSG00000126010|ENSG00000162009|ENSG00000183671	http://amigo.geneontology.org/amigo/term/GO:0042923
male meiotic nuclear division	Gene Ontology	GO:0007140	5	24	0.0398050588319	0.395266069275	ENSG00000121621|ENSG00000137948|ENSG00000154438|ENSG00000143194|ENSG00000182459	http://amigo.geneontology.org/amigo/term/GO:0007140
ionotropic glutamate receptor signaling pathway	Gene Ontology	GO:0035235	5	24	0.0398050588319	0.395266069275	ENSG00000176884|ENSG00000164418|ENSG00000183454|ENSG00000149403|ENSG00000120251	http://amigo.geneontology.org/amigo/term/GO:0035235
calyx of Held	Gene Ontology	GO:0044305	5	24	0.0398050588319	0.395266069275	ENSG00000130477|ENSG00000129159|ENSG00000111262|ENSG00000082482|ENSG00000145920	http://amigo.geneontology.org/amigo/term/GO:0044305
cochlea morphogenesis	Gene Ontology	GO:0090103	5	24	0.0398050588319	0.395266069275	ENSG00000075891|ENSG00000196767|ENSG00000164932|ENSG00000104313|ENSG00000126778	http://amigo.geneontology.org/amigo/term/GO:0090103
neurotransmitter secretion	Gene Ontology	GO:0007269	8	51	0.0398597883242	0.395266069275	ENSG00000130477|ENSG00000124493|ENSG00000185666|ENSG00000187714|ENSG00000136750|ENSG00000128683|ENSG00000148408|ENSG00000143847	http://amigo.geneontology.org/amigo/term/GO:0007269
cellular response to calcium ion	Gene Ontology	GO:0071277	11	81	0.0405524398887	0.395266069275	ENSG00000166869|ENSG00000155897|ENSG00000178773|ENSG00000114346|ENSG00000145708|ENSG00000169760|ENSG00000015413|ENSG00000149043|ENSG00000213023|ENSG00000183873|ENSG00000129990	http://amigo.geneontology.org/amigo/term/GO:0071277
memory	Gene Ontology	GO:0007613	11	81	0.0405524398887	0.395266069275	ENSG00000155897|ENSG00000156395|ENSG00000154118|ENSG00000183454|ENSG00000082482|ENSG00000159224|ENSG00000110881|ENSG00000118432|ENSG00000131771|ENSG00000186868|ENSG00000153292	http://amigo.geneontology.org/amigo/term/GO:0007613
negative regulation of cell division	Gene Ontology	GO:0051782	3	9	0.0406420817243	0.395266069275	ENSG00000091651|ENSG00000197299|ENSG00000128250	http://amigo.geneontology.org/amigo/term/GO:0051782
neuronal action potential propagation	Gene Ontology	GO:0019227	3	9	0.0406420817243	0.395266069275	ENSG00000164007|ENSG00000144285|ENSG00000091129	http://amigo.geneontology.org/amigo/term/GO:0019227
retinal binding	Gene Ontology	GO:0016918	3	9	0.0406420817243	0.395266069275	ENSG00000137868|ENSG00000101412|ENSG00000166426	http://amigo.geneontology.org/amigo/term/GO:0016918
atrial cardiac muscle cell action potential	Gene Ontology	GO:0086014	3	9	0.0406420817243	0.395266069275	ENSG00000183873|ENSG00000176076|ENSG00000182963	http://amigo.geneontology.org/amigo/term/GO:0086014
regulation of ATPase activity	Gene Ontology	GO:0043462	3	9	0.0406420817243	0.395266069275	ENSG00000114854|ENSG00000174672|ENSG00000130595	http://amigo.geneontology.org/amigo/term/GO:0043462
negative regulation of retinoic acid receptor signaling pathway	Gene Ontology	GO:0048387	3	9	0.0406420817243	0.395266069275	ENSG00000095596|ENSG00000106462|ENSG00000185686	http://amigo.geneontology.org/amigo/term/GO:0048387
serotonin receptor signaling pathway	Gene Ontology	GO:0007210	3	9	0.0406420817243	0.395266069275	ENSG00000149305|ENSG00000147246|ENSG00000166736	http://amigo.geneontology.org/amigo/term/GO:0007210
positive regulation of Wnt signaling pathway, planar cell polarity pathway	Gene Ontology	GO:2000096	3	9	0.0406420817243	0.395266069275	ENSG00000107984|ENSG00000147257|ENSG00000140807	http://amigo.geneontology.org/amigo/term/GO:2000096
axon guidance receptor activity	Gene Ontology	GO:0008046	3	9	0.0406420817243	0.395266069275	ENSG00000169855|ENSG00000146013|ENSG00000133216	http://amigo.geneontology.org/amigo/term/GO:0008046
regulation of neural precursor cell proliferation	Gene Ontology	GO:2000177	3	9	0.0406420817243	0.395266069275	ENSG00000171241|ENSG00000206557|ENSG00000138083	http://amigo.geneontology.org/amigo/term/GO:2000177
nuclear origin of replication recognition complex	Gene Ontology	GO:0005664	3	9	0.0406420817243	0.395266069275	ENSG00000091651|ENSG00000085840|ENSG00000073111	http://amigo.geneontology.org/amigo/term/GO:0005664
NAD(P)H oxidase H2O2-forming activity	Gene Ontology	GO:0016174	3	9	0.0406420817243	0.395266069275	ENSG00000086991|ENSG00000137857|ENSG00000140279	http://amigo.geneontology.org/amigo/term/GO:0016174
peptide binding	Gene Ontology	GO:0042277	9	61	0.0408729039334	0.396564484592	ENSG00000082556|ENSG00000162009|ENSG00000278195|ENSG00000056291|ENSG00000145708|ENSG00000136943|ENSG00000172901|ENSG00000183671|ENSG00000100739	http://amigo.geneontology.org/amigo/term/GO:0042277
positive regulation of epithelial to mesenchymal transition	Gene Ontology	GO:0010718	7	42	0.0413829836158	0.39866585871	ENSG00000016082|ENSG00000106462|ENSG00000180318|ENSG00000138795|ENSG00000057149|ENSG00000110492|ENSG00000101144	http://amigo.geneontology.org/amigo/term/GO:0010718
camera-type eye development	Gene Ontology	GO:0043010	7	42	0.0413829836158	0.39866585871	ENSG00000148704|ENSG00000196431|ENSG00000237412|ENSG00000075891|ENSG00000134640|ENSG00000137868|ENSG00000164093	http://amigo.geneontology.org/amigo/term/GO:0043010
mitotic spindle assembly	Gene Ontology	GO:0090307	7	42	0.0413829836158	0.39866585871	ENSG00000117650|ENSG00000138160|ENSG00000117399|ENSG00000099812|ENSG00000237649|ENSG00000089685|ENSG00000101057	http://amigo.geneontology.org/amigo/term/GO:0090307
cellular response to BMP stimulus	Gene Ontology	GO:0071773	6	33	0.0417329655802	0.400145493504	ENSG00000105880|ENSG00000147869|ENSG00000144355|ENSG00000139219|ENSG00000263761|ENSG00000101144	http://amigo.geneontology.org/amigo/term/GO:0071773
delayed rectifier potassium channel activity	Gene Ontology	GO:0005251	6	33	0.0417329655802	0.400145493504	ENSG00000176076|ENSG00000111262|ENSG00000055118|ENSG00000171126|ENSG00000129159|ENSG00000166006	http://amigo.geneontology.org/amigo/term/GO:0005251
anaphase-promoting complex-dependent catabolic process	Gene Ontology	GO:0031145	11	82	0.0433547624844	0.414719852404	ENSG00000164287|ENSG00000166851|ENSG00000170312|ENSG00000117399|ENSG00000178999|ENSG00000154611|ENSG00000175063|ENSG00000156970|ENSG00000087586|ENSG00000164611|ENSG00000134057	http://amigo.geneontology.org/amigo/term/GO:0031145
postsynapse	Gene Ontology	GO:0098794	12	93	0.0449866738598	0.427870973039	ENSG00000145920|ENSG00000187848|ENSG00000197106|ENSG00000188763|ENSG00000133216|ENSG00000102287|ENSG00000113327|ENSG00000130294|ENSG00000011677|ENSG00000169760|ENSG00000151834|ENSG00000120251	http://amigo.geneontology.org/amigo/term/GO:0098794
ventricular cardiac muscle tissue morphogenesis	Gene Ontology	GO:0055010	5	25	0.0452545740809	0.427870973039	ENSG00000060718|ENSG00000129991|ENSG00000016082|ENSG00000114854|ENSG00000163217	http://amigo.geneontology.org/amigo/term/GO:0055010
homologous chromosome pairing at meiosis	Gene Ontology	GO:0007129	5	25	0.0452545740809	0.427870973039	ENSG00000164256|ENSG00000105173|ENSG00000100206|ENSG00000143194|ENSG00000161609	http://amigo.geneontology.org/amigo/term/GO:0007129
retinoic acid binding	Gene Ontology	GO:0001972	5	25	0.0452545740809	0.427870973039	ENSG00000095596|ENSG00000073067|ENSG00000244122|ENSG00000242515|ENSG00000166426	http://amigo.geneontology.org/amigo/term/GO:0001972
synaptic transmission, cholinergic	Gene Ontology	GO:0007271	5	25	0.0452545740809	0.427870973039	ENSG00000181019|ENSG00000147432|ENSG00000080644|ENSG00000138435|ENSG00000150551	http://amigo.geneontology.org/amigo/term/GO:0007271
kinesin binding	Gene Ontology	GO:0019894	7	43	0.0454792051882	0.42800868624	ENSG00000101447|ENSG00000186185|ENSG00000167654|ENSG00000198901|ENSG00000008735|ENSG00000155980|ENSG00000129159	http://amigo.geneontology.org/amigo/term/GO:0019894
potassium ion import across plasma membrane	Gene Ontology	GO:1990573	7	43	0.0454792051882	0.42800868624	ENSG00000099822|ENSG00000169427|ENSG00000105675|ENSG00000055118|ENSG00000162728|ENSG00000157542|ENSG00000074803	http://amigo.geneontology.org/amigo/term/GO:1990573
molecular_function	Gene Ontology	GO:0003674	64	717	0.0460899080689	0.429245131075	ENSG00000280969|ENSG00000132429|ENSG00000133115|ENSG00000196431|ENSG00000163499|ENSG00000123584|ENSG00000227234|ENSG00000160284|ENSG00000104371|ENSG00000085831|ENSG00000075218|ENSG00000176746|ENSG00000006118|ENSG00000241322|ENSG00000118557|ENSG00000168903|ENSG00000163515|ENSG00000155816|ENSG00000198054|ENSG00000204624|ENSG00000125816|ENSG00000139364|ENSG00000213401|ENSG00000185559|ENSG00000198183|ENSG00000233316|ENSG00000260230|ENSG00000149488|ENSG00000143061|ENSG00000100167|ENSG00000128578|ENSG00000181552|ENSG00000263639|ENSG00000147381|ENSG00000082196|ENSG00000205277|ENSG00000106236|ENSG00000125999|ENSG00000131094|ENSG00000184029|ENSG00000177504|ENSG00000029559|ENSG00000178776|ENSG00000182379|ENSG00000154975|ENSG00000156009|ENSG00000196890|ENSG00000171201|ENSG00000165685|ENSG00000173253|ENSG00000113100|ENSG00000232416|ENSG00000143228|ENSG00000154118|ENSG00000258992|ENSG00000158164|ENSG00000125462|ENSG00000221867|ENSG00000126890|ENSG00000187689|ENSG00000130821|ENSG00000147697|ENSG00000198398|ENSG00000221986	http://amigo.geneontology.org/amigo/term/GO:0003674
